product_code,status,category,source_tab,width_cm,length_cm,size_cm,width_ft,length_ft,size_ft,updated_at
E-18,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-180,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-181,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-182,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-183,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-184,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-185,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-186,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-187,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-188,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-189,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-19,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-190,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-191,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-192,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-193,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-194,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-195,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-196,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-197,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-198,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-199,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-20,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-200,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-201,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-202,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-203,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-204,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-205,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-207,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-208,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-209,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-21,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
